PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
14602_2004,0.03299427532187664,0.049854065215947936,0.14432531670047305,0.17219851825224314,0.008795040399830742,0.0048329160734153906,2.8551338637933488,1.942329765949732,0.1027684456258276,0.18445953907041066,-9.046651886708188,-9.258840051180414,0.5424594918816528,-0.8227755987770459,2.7080502011022096,2.7080502011022096,0,1,0,0,0,0,0,0,0,0,0.0
14620_2002,-0.912786029706945,-0.12559628041784918,0.3733440385387395,0.4970714328844876,0.00853071055800883,0.011351971499305596,1.1821503625589278,2.297845338924601,0.9911771458564644,0.4966438006989658,-16.05990325639339,-14.79779322940264,-2.678507364116688,0.20501685639130415,-1.1631508098056809,-0.4462871026284195,0,0,0,0,0,0,1,0,0,0,0.0
14620_2003,-0.12559628041784918,0.0,0.4970714328844876,0.0,0.011351971499305596,0.0,2.297845338924601,0.0,0.4966438006989658,0.0,-14.79779322940264,0.0,0.20501685639130415,0.0,-0.4462871026284195,0.0,0,0,0,0,0,0,1,0,0,0,0.0
14620_2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.0
14633_2002,0.0015506739333454136,0.003334768477335222,0.9688541042331656,0.9375531168653004,0.05245924108739993,0.07786159517262424,0.5066089282880268,0.7457591491404955,0.08438108631221214,0.1231733821515872,-12.987349784240802,-12.392345838339992,-0.4867751505284946,0.31655437570995704,1.634130525024472,2.1162555148025524,0,0,0,0,0,1,0,0,0,0,0.0
14633_2003,0.003334768477335222,-0.0018525593563054746,0.9375531168653004,0.938825453072242,0.07786159517262424,0.07269169585713063,0.7457591491404955,0.7011446961991743,0.1231733821515872,0.07761172079859212,-12.392345838339992,-12.212273469782222,0.31655437570995704,0.14432147639133364,2.1162555148025524,2.0412203288596382,0,0,0,0,0,1,0,0,0,0,0.0
14633_2004,-0.0018525593563054746,-0.015608307927111438,0.938825453072242,0.9285019742569958,0.07269169585713063,0.053878198540187806,0.7011446961991743,0.9778050835201308,0.07761172079859212,0.061136875487955614,-12.212273469782222,-12.352635995423903,0.14432147639133364,-0.2050293764000148,2.0412203288596382,2.138889000323256,0,0,0,0,0,1,0,0,0,0,0.0
14648_2002,0.0120514872263984,-0.00851012427969075,0.659998315572532,0.6977798599876942,0.02501550584203874,0.05328579295777778,1.3793907194289428,0.8381868774529208,0.12633153448117893,0.1185606976353242,-10.916156743510923,-11.1928055800665,-0.1027470905509356,-0.41732749743645015,2.6827323931179197,2.0668627594729756,0,0,0,0,0,1,0,0,0,0,0.0
14648_2003,-0.00851012427969075,-0.037696068424401784,0.6977798599876942,0.7873462918300975,0.05328579295777778,0.10571457691901892,0.8381868774529208,0.4656468180830216,0.1185606976353242,0.24321232260140144,-11.1928055800665,-11.643529414855072,-0.41732749743645015,-0.5382587489937233,2.0668627594729756,1.3609765531356006,0,0,0,0,0,1,0,0,0,0,0.0
14648_2004,-0.037696068424401784,0.0,0.7873462918300975,0.0,0.10571457691901892,0.0,0.4656468180830216,0.0,0.24321232260140144,0.0,-11.643529414855072,0.0,-0.5382587489937233,0.0,1.3609765531356006,0.0,0,0,0,0,0,1,0,0,0,0,0.0
14659_2002,-0.033447879859785486,-0.023168477262345936,0.02641880930052621,0.022570277348203004,0.19119211248649248,0.2008533105218092,3.634076960184984,3.5790986304733208,0.4372774910817001,0.21756548677078927,-9.544628036743527,-8.812778684867743,0.39503841363424896,0.6341071290850041,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
14659_2003,-0.023168477262345936,-0.0655447687840612,0.022570277348203004,0.029317514471037774,0.2008533105218092,0.16966510503033358,3.5790986304733208,4.095666315392017,0.21756548677078927,0.14660289075936614,-8.812778684867743,-8.664040668806843,0.6341071290850041,0.3419145485871638,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
14659_2004,-0.0655447687840612,-0.014478276484069998,0.029317514471037774,0.07839927378925199,0.16966510503033358,0.21685257792613144,4.095666315392017,3.5363895294460805,0.14660289075936614,0.06780070933075409,-8.664040668806843,-8.583161382970237,0.3419145485871638,-0.027838400634566246,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
14661_2002,0.015152330064856424,0.017645361703348586,0.6879318584076267,0.6848217478418835,0.002423383674183483,0.005594870783988575,1.4695904391452153,1.6168701095546971,0.3668990461940088,0.05510776591420241,-12.532733181107615,-12.23178269066524,-0.10711663558060802,0.3845240191975393,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,0,0,1,0,0.0
14661_2003,0.017645361703348586,0.020146824759852945,0.6848217478418835,0.6372140427284806,0.005594870783988575,0.004225659908834047,1.6168701095546971,1.400912139884351,0.05510776591420241,0.057660987919780686,-12.23178269066524,-11.738125209785213,0.3845240191975393,0.2537653669692508,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,0,0,1,0,0.0
14661_2004,0.020146824759852945,0.014383015630375959,0.6372140427284806,0.6008516713416671,0.004225659908834047,0.0041419559946551145,1.400912139884351,1.8647823865013635,0.057660987919780686,0.12447406724259336,-11.738125209785213,-11.615589811644487,0.2537653669692508,-0.34757542986512296,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,0,0,1,0,0.0
