,PERMCO,fyear,dlrsn
8006,5253,2007,0.0
8007,5253,2008,0.0
8008,5253,2009,0.0
8009,5253,2010,0.0
8010,5253,2011,0.0
8011,5253,2012,0.0
8012,5253,2013,0.0
8013,5253,2014,0.0
8014,5253,2015,0.0
8015,5253,2016,0.0
8016,5253,2017,0.0
8017,5253,2018,0.0
8018,5253,2019,0.0
8019,11980,2000,0.0
8020,11980,2001,0.0
8021,11980,2002,0.0
8022,11980,2003,0.0
8023,11980,2004,0.0
8024,11980,2005,0.0
8025,11980,2006,0.0
8026,11980,2007,0.0
8027,11980,2008,0.0
8028,11980,2009,0.0
8029,11980,2010,0.0
8030,11980,2011,0.0
8031,11980,2012,0.0
8032,11980,2013,0.0
8033,11980,2014,0.0
8034,11980,2015,0.0
8035,11980,2016,0.0
8036,11980,2017,0.0
8037,11980,2018,0.0
8038,21255,2000,0.0
8039,21255,2001,0.0
8040,21255,2002,0.0
8041,21255,2003,0.0
8042,21255,2004,0.0
8043,21255,2005,0.0
8044,21255,2006,0.0
8045,21255,2007,0.0
8046,21255,2008,0.0
8047,21255,2009,0.0
8048,21255,2010,0.0
8049,21255,2011,0.0
8050,21255,2012,0.0
8051,21255,2013,0.0
8052,21255,2014,0.0
8053,21255,2015,0.0
8054,21255,2016,0.0
8055,21255,2017,0.0
8056,21255,2018,0.0
8057,21255,2019,0.0
8058,21256,2000,0.0
8059,21256,2001,0.0
8060,21256,2002,0.0
8061,21256,2003,0.0
8062,21256,2004,0.0
8063,21256,2005,0.0
8064,21256,2006,0.0
8065,21256,2007,0.0
8066,21256,2008,0.0
8067,21256,2009,0.0
8068,21256,2010,0.0
8069,21256,2011,0.0
8070,21256,2012,0.0
8071,21256,2013,0.0
8072,21256,2014,0.0
8073,21256,2015,0.0
8074,21256,2016,0.0
8075,21256,2017,0.0
8076,21256,2018,0.0
8077,21256,2019,0.0
8078,21258,2000,0.0
8079,21258,2001,0.0
8080,21258,2002,0.0
8081,21258,2003,0.0
8082,21258,2004,0.0
8083,21258,2005,0.0
8084,21258,2006,0.0
8085,21258,2007,0.0
8086,21258,2008,0.0
8087,21258,2009,0.0
8088,21258,2010,0.0
8089,21258,2011,0.0
8090,21258,2012,0.0
8091,21258,2013,0.0
8092,21258,2014,0.0
8093,21258,2015,0.0
8094,21258,2016,0.0
8095,21258,2017,0.0
8096,21258,2018,0.0
8097,21258,2019,0.0
8098,3236,2000,0.0
8099,3236,2001,0.0
8100,3236,2002,0.0
8101,3236,2003,0.0
8102,3236,2004,0.0
8103,3236,2005,0.0
8104,3236,2006,0.0
8105,3236,2007,0.0
8106,3236,2008,0.0
8107,3236,2009,0.0
8108,3236,2010,0.0
8109,3236,2011,0.0
8110,3236,2012,0.0
8111,3236,2013,0.0
8112,3236,2014,0.0
8113,3236,2015,0.0
8114,3236,2016,0.0
8115,3236,2017,0.0
8116,3236,2018,0.0
8117,3236,2019,0.0
8119,21259,2000,0.0
8120,21259,2001,0.0
8121,21259,2002,0.0
8122,21259,2003,0.0
8123,21259,2004,0.0
8124,21259,2005,0.0
8125,21259,2006,0.0
8126,21259,2007,0.0
8127,21259,2008,0.0
8128,21259,2009,0.0
8129,21259,2010,0.0
8130,21259,2011,0.0
8131,21259,2012,0.0
8132,21259,2013,0.0
8133,21259,2014,0.0
8134,21259,2015,0.0
8135,21259,2016,0.0
8136,21259,2017,0.0
8137,21259,2018,0.0
8138,21259,2019,0.0
8139,5651,2000,0.0
8140,5651,2001,0.0
8141,5651,2002,0.0
8142,5651,2003,0.0
8143,5651,2004,0.0
8144,5651,2005,0.0
8145,5651,2006,0.0
8146,5651,2007,0.0
8147,5651,2008,0.0
8148,5651,2009,0.0
8150,3200,2000,0.0
8151,3200,2001,0.0
8152,3200,2002,0.0
8153,3200,2003,0.0
8154,3200,2004,0.0
8155,3200,2005,0.0
8156,3200,2006,0.0
8157,3200,2007,0.0
8158,3200,2008,0.0
8159,3200,2009,0.0
8160,3200,2010,0.0
8161,3200,2011,0.0
8162,3200,2012,0.0
8163,3200,2013,0.0
8164,3200,2014,0.0
8165,3200,2015,0.0
8166,3200,2016,0.0
8167,3200,2017,0.0
8168,3200,2018,0.0
8169,3200,2019,0.0
8170,21280,2000,0.0
8171,21280,2001,0.0
8172,21280,2002,0.0
8173,21280,2003,0.0
8174,21280,2004,0.0
8175,21280,2005,0.0
8176,21280,2006,0.0
8177,21280,2007,0.0
8178,21280,2008,0.0
8179,21280,2009,0.0
8180,21280,2010,0.0
8181,21280,2011,0.0
8182,21280,2012,0.0
8183,21280,2013,0.0
8184,21280,2014,0.0
8185,21280,2015,0.0
8186,21280,2016,0.0
8187,21280,2017,0.0
8188,21280,2018,0.0
8189,21280,2019,0.0
8190,3178,2000,0.0
8191,3178,2001,0.0
8192,3178,2002,0.0
8193,3178,2003,0.0
8194,3178,2004,0.0
8195,3178,2005,0.0
8196,3178,2006,0.0
8197,3178,2007,0.0
8198,3178,2008,0.0
8199,3178,2009,0.0
8200,3178,2010,0.0
8201,3178,2011,0.0
8202,3178,2012,0.0
8203,3178,2013,0.0
8204,3178,2014,0.0
8205,3178,2015,0.0
8206,3178,2016,0.0
8207,3178,2017,0.0
8208,3178,2018,0.0
8209,3178,2019,0.0
8210,21286,2000,0.0
8211,21286,2001,0.0
8212,21286,2002,0.0
8213,21286,2003,0.0
8214,21286,2004,0.0
8215,21286,2005,0.0
8216,21286,2006,0.0
8217,21286,2007,0.0
8218,21286,2008,0.0
8219,21286,2009,0.0
8220,21286,2010,0.0
8221,21286,2011,0.0
8222,21286,2012,0.0
8223,21286,2013,0.0
8224,21286,2014,0.0
8225,21286,2015,0.0
8226,21286,2016,0.0
8227,21286,2017,0.0
8228,21286,2018,0.0
8229,21286,2019,0.0
8230,24025,2000,0.0
8231,24025,2001,0.0
8232,24025,2002,0.0
8233,24025,2003,0.0
8234,24025,2004,0.0
8235,24025,2005,0.0
8236,24025,2006,0.0
8237,24025,2007,0.0
8238,24025,2008,0.0
8239,24025,2009,0.0
8240,24025,2010,0.0
8241,24025,2011,0.0
8242,24025,2012,0.0
8243,24025,2013,0.0
8244,24025,2014,0.0
8245,24025,2015,0.0
8246,24025,2016,0.0
8247,24025,2017,0.0
8248,24025,2018,0.0
8249,24025,2019,0.0
8250,3194,2000,0.0
8251,3194,2001,0.0
8252,3194,2002,0.0
8253,3194,2003,0.0
8254,3194,2004,0.0
8255,3194,2005,0.0
8256,3194,2006,0.0
8257,3194,2007,0.0
8258,3194,2008,0.0
8259,3194,2009,0.0
8260,3194,2010,0.0
8261,3194,2011,0.0
8262,3194,2012,0.0
8263,3194,2013,0.0
8264,3194,2014,0.0
8265,3194,2015,0.0
8266,3194,2016,0.0
8267,3194,2017,0.0
8268,3194,2018,0.0
8269,3218,2000,0.0
8270,3218,2001,0.0
8271,3218,2002,0.0
8272,3218,2003,0.0
8273,3218,2004,0.0
8274,3218,2005,0.0
8275,3218,2006,0.0
8276,3218,2007,0.0
8277,3218,2008,0.0
8278,3218,2009,0.0
8279,3218,2010,0.0
8280,3218,2011,0.0
8289,3219,2000,0.0
8290,3219,2001,0.0
8291,3219,2002,0.0
8292,3219,2003,0.0
8293,3219,2004,0.0
8294,3219,2005,0.0
8295,3219,2006,0.0
8296,3219,2007,0.0
8297,3219,2008,0.0
8298,3219,2009,0.0
